bundle,label,icd10,default_caps,default_interventions,mhis_code,mhis_procedure,mhis_rate,alos
Neonatal,Extreme Prematurity (<28 Weeks),P07.2,Neonatologist;NICU;Ventilator,Incubator;Surfactant;IV Access,MP0110,Extreme Prematurity Level 3 Care,80000,21
Sepsis,Septic Shock,R65.21,Intensivist;ICU;Ventilator,Broad Spectrum Antibiotics;30cc/kg Fluid,MS0101,Severe Sepsis ICU Protocol,50000,12
Sepsis,Urosepsis / Severe UTI,N39.0,Nephrologist;ICU,IV Antibiotics;Fluid Hydration,MS0102,Medical Management of Sepsis,20000,5
Respiratory,Acute Respiratory Distress (ARDS),J80,Pulmonologist;ICU;Ventilator,High Flow O2;Intubation Prep,MR0101,Intensive Care with Mechanical Ventilation,40000,8
Respiratory,Severe Pneumonia,J15.9,Pulmonologist;ICU,High Flow O2;IV Antibiotics,MR0102,Respiratory ICU Care,25000,6
Respiratory,Acute Exacerbation of COPD,J44.1,Pulmonologist;ICU,BIPAP;IV Steroids,MR0103,Respiratory ICU without Intubation,20000,5
Respiratory,Massive Pulmonary Embolism,I26.9,Pulmonologist;Cardiologist;ICU,Heparin IV;O2 Support,MR0104,Thrombolysis / ICU Medical Management,45000,7
Respiratory,Tension Pneumothorax,J93.0,General Surgeon;ICU,Needle Decompression;Chest Tube Prep,MR0105,ICD Insertion and ICU Care,18000,4
General Surgery,Acute Appendicitis with Peritonitis,K35.8,General Surgeon;OR;ICU,IV Antibiotics;NPO,SG0101,Emergency Laparoscopic Appendectomy,22000,4
General Surgery,Acute Severe Pancreatitis,K85.9,Gastroenterologist;ICU;CT Scanner,Aggressive IV Hydration;Pain Control,SG0102,ICU & Surgical Pancreatitis Management,35000,7
General Surgery,Perforated Viscus (Stomach/Bowel),K27.9,General Surgeon;OR;ICU,IV Antibiotics;NPO;Fluid Resus,SG0103,Emergency Exploratory Laparotomy,45000,9
General Surgery,Acute Cholecystitis,K81.0,General Surgeon;OR,IV Antibiotics;Analgesia,SG0104,Laparoscopic Cholecystectomy,25000,3
General Surgery,Strangulated / Obstructed Hernia,K46.0,General Surgeon;OR,NPO;IV Fluids,SG0105,Emergency Hernia Repair with Mesh,20000,3
General Surgery,Massive Upper GI Bleed,K92.2,Gastroenterologist;Bloodbank;ICU,IV Pantoprazole;Blood Products,SG0106,Endoscopic Hemostasis & ICU Care,30000,5
Toxicology,Organophosphate Poisoning (Severe),T60.0,Intensivist;ICU;Ventilator,Atropine IV;Decontamination,MT0101,Toxicology ICU with Ventilation,28000,6
Toxicology,Snakebite (Neurotoxic / Hemotoxic),T63.0,Intensivist;ICU;Bloodbank,Anti-Snake Venom (ASV);O2 Support,MT0102,Snakebite ICU Management Protocol,25000,5
Toxicology,Unknown Drug Overdose / Coma,T50.9,Intensivist;ICU;Ventilator,Naloxone (if opioid);Protect Airway,MT0103,Poisoning Intensive Care,20000,4
Burns,Severe Burn (30-50% TBSA),T31.3,Plastic Surgeon;Burn Unit;ICU,Parkland Formula Fluids;Dry Dressing,MB0101,Major Burn ICU Management,85000,15
Burns,Inhalation Injury,J68.9,Pulmonologist;Burn Unit;ICU,100% O2;Early Intubation Prep,MB0102,Inhalation Injury ICU Protocol,40000,8
Metabolic,Diabetic Ketoacidosis (DKA),E10.1,Endocrinologist;ICU,Normal Saline Bolus;Insulin Drip Prep,MD0101,Endocrinology ICU Protocol,18000,5
Metabolic,Severe Hypoglycemia / Coma,E16.2,Endocrinologist,Dextrose 25% IV Push,MD0102,Medical Management of Hypoglycemia,8000,2
Metabolic,Acute Kidney Injury (AKI) requiring Dialysis,N17.9,Nephrologist;Dialysis;ICU,Calcium Gluconate;ECG Monitoring,MD0103,Emergency Hemodialysis & ICU Care,25000,6
Metabolic,Severe Hyperkalemia with ECG Changes,E87.5,Nephrologist;ICU,Calcium Gluconate;Insulin+Dextrose,MD0104,Electrolyte Imbalance ICU Care,15000,3
Oncology,Febrile Neutropenia,D70.9,Oncologist;ICU,Broad Spectrum Antibiotics;Isolation,MO0101,Oncology Sepsis Protocol,35000,7
Oncology,Spinal Cord Compression (Malignant),G95.2,Neurosurgeon;Oncologist;MRI,High Dose Steroids;Pain Control,MO0102,Palliative Decompression Surgery,55000,8
Green / Standard,Uncomplicated Long Bone Fracture,S82.2,Orthopedic Surgeon,Splinting;Analgesia,C0001,Basic Orthopedic Care,10000,2
Green / Standard,Mild Febrile Illness / Viral Syndrome,R50.9,General Physician,Paracetamol;Oral Hydration,C0002,General Ward Admission,5000,2
Green / Standard,Routine Maternal Checkup / False Labor,O47.9,Obstetrician,Fetal Monitoring,C0003,Basic Obstetric Observation,6000,1
Green / Standard,Minor Soft Tissue Laceration,T14.0,General Surgeon,Wound Cleaning;Tetanus Toxoid,C0004,Minor Surgical Procedure,4000,1
